pokemon_name,pokedex_number,type1,type2,total_stats,hp,attack,defense,sp_attack,sp_defense,speed
Tatsugiri,978,Dragon,Water,475,68,50,60,120,95,82
Annihilape,979,Fighting,Ghost,535,110,115,80,50,90,90
Clodsire,980,Poison,Ground,430,130,75,60,45,100,20
Farigiraf,981,Normal,Psychic,520,120,90,70,110,70,60
Dudunsparce,982,Normal,,520,125,100,80,85,75,55
Kingambit,983,Dark,Steel,550,100,135,120,60,85,50
Great Tusk,984,Ground,Fighting,570,115,131,131,53,53,87
Scream Tail,985,Fairy,Psychic,570,115,65,99,65,115,111
Brute Bonnet,986,Grass,Dark,570,111,127,99,79,99,55
Flutter Mane,987,Ghost,Fairy,570,55,55,55,135,135,135
Slither Wing,988,Bug,Fighting,570,85,135,79,85,105,81
Sandy Shocks,989,Electric,Ground,570,85,81,97,121,85,101
Iron Treads,990,Ground,Steel,570,90,112,120,72,70,106
Iron Bundle,991,Ice,Water,570,56,80,114,124,60,136
Iron Hands,992,Fighting,Electric,570,154,140,108,50,68,50
Iron Jugulis,993,Dark,Flying,570,94,80,86,122,80,108
Iron Moth,994,Fire,Poison,570,80,70,60,140,110,110
Iron Thorns,995,Rock,Electric,570,100,134,110,70,84,72
Frigibax,996,Dragon,Ice,320,65,75,45,35,45,55
Arctibax,997,Dragon,Ice,423,90,95,66,45,65,62
Baxcalibur,998,Dragon,Ice,600,115,145,92,75,86,87
Gimmighoul,999,Ghost,,300,45,30,70,75,70,10
Gholdengo,1000,Steel,Ghost,550,87,60,95,133,91,84
Wo-Chien,1001,Dark,Grass,570,85,85,100,95,135,70
Chien-Pao,1002,Dark,Ice,570,80,120,80,90,65,135
Ting-Lu,1003,Dark,Ground,570,155,110,125,55,80,45
Chi-Yu,1004,Dark,Fire,570,55,80,80,135,120,100
Roaring Moon,1005,Dragon,Dark,590,105,139,71,55,101,119
Iron Valiant,1006,Fairy,Fighting,590,74,130,90,120,60,116
Koraidon,1007,Fighting,Dragon,670,100,135,115,85,100,135
Miraidon,1008,Electric,Dragon,670,100,85,100,135,115,135
Walking Wake,1009,Water,Dragon,590,99,83,91,125,83,109
Iron Leaves,1010,Grass,Psychic,590,90,130,88,70,108,104
Dipplin,1011,Grass,Dragon,485,80,80,110,95,80,40
Poltchageist,1012,Grass,Ghost,308,40,45,45,74,54,50
Sinistcha,1013,Grass,Ghost,508,71,60,106,121,80,70
Okidogi,1014,Poison,Fighting,555,88,128,115,58,86,80
Munkidori,1015,Poison,Psychic,555,88,75,66,130,90,106
Fezandipiti,1016,Poison,Fairy,555,88,91,82,70,125,99
Ogerpon,1017,Grass,,550,80,120,84,60,96,110
Archaludon,1018,Steel,Dragon,600,90,105,130,125,65,85
Hydrapple,1019,Grass,Dragon,540,106,80,110,120,80,44
Gouging Fire,1020,Fire,Dragon,590,105,115,121,65,93,91
Raging Bolt,1021,Electric,Dragon,590,125,73,91,137,89,75
Iron Boulder,1022,Rock,Psychic,590,90,120,80,68,108,124
Iron Crown,1023,Steel,Psychic,590,90,72,100,122,108,98
Terapagos,1024,Normal,,450,90,65,85,65,85,60
Pecharunt,1025,Poison,Ghost,600,88,88,160,88,88,88
