name,price,description,stock,sku,category,tag,weight,dimension,scraping_method
Baltoy,167.0,"As soon as it spots others of its kind, Baltoy congregates with them and then begins crying noisily in unison. This Pokémon sleeps while cleverly balancing itself on its one foot.",159 in stock,8305,"Clay Doll, Pokemon","baltoy, Clay Doll, Levitate",47.4 kg,1 x 1 x 1 cm,Selenium
Claydol,197.0,"Claydol is an enigma that appeared from a clay statue made by an ancient civilization dating back 20,000 years. This Pokémon shoots beams from both its hands.",128 in stock,3698,"Clay Doll, Pokemon","Clay Doll, claydol, Levitate",238.1 kg,4 x 4 x 4 cm,Selenium
Lileep,87.0,"Lileep is an ancient Pokémon that was regenerated from a fossil. It remains permanently anchored to a rock. From its immobile perch, this Pokémon intently scans for prey with its two eyes.",268 in stock,2965,"Pokemon, Sea Lily","lileep, Sea Lily, Suction Cups",52.5 kg,3 x 3 x 3 cm,Selenium
Cradily,154.0,"Cradily’s body serves as an anchor, preventing it from being washed away in rough seas. This Pokémon secretes a strong digestive fluid from its tentacles.",183 in stock,5809,"Barnacle, Pokemon","Barnacle, cradily, Suction Cups",133.2 kg,4 x 4 x 4 cm,Selenium
Anorith,64.0,"Anorith is said to be a type of Pokémon predecessor, with eight wings at the sides of its body. This Pokémon swam in the primordial sea by undulating these eight wings.",222 in stock,2511,"Old Shrimp, Pokemon","anorith, Battle Armor, Old Shrimp",27.6 kg,2 x 2 x 2 cm,Selenium
Armaldo,42.0,"Armaldo is a Pokémon species that became extinct in prehistoric times. This Pokémon is said to have walked on its hind legs, which would have been more convenient for life on land.",78 in stock,3328,"Plate, Pokemon","armaldo, Battle Armor, Plate",150.4 kg,4 x 4 x 4 cm,Selenium
Feebas,194.0,"While Feebas’s body is in tatters, it has a hardy and tenacious life force that enables it to live anywhere. However, this Pokémon is also slow and dimwitted, making it an easy catch.",146 in stock,6505,"Fish, Pokemon","feebas, Fish, Oblivious",16.3 kg,2 x 2 x 2 cm,Selenium
Milotic,152.0,"Milotic live at the bottom of large lakes. When this Pokémon’s body glows a vivid pink, it releases a pulsing wave of energy that brings soothing calm to troubled hearts.",79 in stock,4867,"Pokemon, Tender","Marvel Scale, milotic, Tender",357.1 kg,20 x 20 x 20 cm,Selenium
Castform,119.0,"Castform borrows the power of nature to transform itself into the guises of the sun, rain, and snow-clouds. This Pokémon’s feelings change with the weather.",131 in stock,9535,"Pokemon, Weather","castform, Forecast, Weather",1.8 kg,1 x 1 x 1 cm,Selenium
Kecleon,100.0,"Kecleon alters its body coloration to blend in with its surroundings, allowing it to sneak up on its prey unnoticed. Then it lashes out with its long, stretchy tongue to instantly ensnare the unsuspecting target.",53 in stock,2351,"Color Swap, Pokemon","Color Change, Color Swap, kecleon",48.5 kg,3 x 3 x 3 cm,Selenium
Shuppet,174.0,"Shuppet grows by feeding on dark emotions, such as vengefulness and envy, in the hearts of people. It roams through cities in search of grudges that taint people.",138 in stock,7348,"Pokemon, Puppet","Insomnia, Puppet, shuppet",5.1 kg,2 x 2 x 2 cm,Selenium
Banette,104.0,"A cursed energy permeated the stuffing of a discarded and forgotten plush doll, giving it new life as Banette. The Pokémon’s energy would escape if it were to ever open its mouth.",233 in stock,6213,"Marionette, Pokemon","banette, Insomnia, Marionette",27.6 kg,3 x 3 x 3 cm,Selenium
Duskull,139.0,Duskull wanders lost among the deep darkness of midnight. There is an oft-told admonishment given to misbehaving children that this Pokémon will spirit away bad children who earn scoldings from their mothers.,75 in stock,6627,"Pokemon, Requiem","duskull, Levitate, Requiem",33.1 kg,2 x 2 x 2 cm,Selenium
Dusclops,39.0,"Dusclops absorbs anything, however large the object may be. This Pokémon hypnotizes its foe by waving its hands in a macabre manner and by bringing its single eye to bear. The hypnotized foe is made to do Dusclops’s bidding.",82 in stock,4994,"Beckon, Pokemon","Beckon, dusclops, Pressure",67.5 kg,5 x 5 x 5 cm,Selenium
Tropius,196.0,Children of the southern tropics eat as snacks the fruit that grows in bunches around the neck of Tropius. This Pokémon flies by flapping the leaves on its back as if they were wings.,66 in stock,7266,"Fruit, Pokemon","Chlorophyll, fruit, tropius",220.5 kg,6 x 6 x 6 cm,Selenium
Chimecho,51.0,"In high winds, Chimecho cries as it hangs from a tree branch or the eaves of a building using a suction cup on its head. This Pokémon plucks berries with its long tail and eats them.",43 in stock,6688,"Pokemon, Wind Chime","chimecho, Levitate, Wind Chime",2.2 kg,2 x 2 x 2 cm,Selenium
Absol,134.0,"Absol has the ability to foretell the coming of natural disasters. It lives in a harsh, rugged mountain environment. This Pokémon very rarely ventures down from the mountains.",59 in stock,3431,"Disaster, Pokemon","absol, Disaster, Pressure",103.6 kg,3 x 3 x 3 cm,Selenium
Wynaut,168.0,"Wynaut gather on moonlit nights to play by squeezing up against each other. By being squeezed, this Pokémon gains endurance and is trained to dole out powerful counterattacks.",155 in stock,9836,"Bright, Pokemon","Bright, Shadow Tag, wynaut",30.9 kg,2 x 2 x 2 cm,Selenium
Snorunt,82.0,Snorunt survives by eating only snow and ice. Old folklore claims that a house visited by this Pokémon is sure to prosper for many generations to come.,80 in stock,1099,"Pokemon, Snow Hat","Inner Focus, snorunt, Snow Hat",37 kg,2 x 2 x 2 cm,Selenium
Glalie,178.0,"Glalie has the ability to freely control ice. For example, it can instantly freeze its prey solid. After immobilizing its prey in ice, this Pokémon enjoys eating it in leisurely fashion.",14 in stock,8582,"Face, Pokemon","Face, glalie, Inner Focus",565.5 kg,4 x 4 x 4 cm,Selenium
Spheal,193.0,"Spheal always travels by rolling around on its ball-like body. When the season for ice floes arrives, this Pokémon can be seen rolling about on ice and crossing the sea.",170 in stock,7748,"Clap, Pokemon","Clap, spheal, Thick Fat",87.1 kg,2 x 2 x 2 cm,Selenium
Sealeo,160.0,"Sealeo often balances and rolls things on the tip of its nose. While the Pokémon is rolling something, it checks the object’s aroma and texture to determine whether it likes the object or not.",171 in stock,4231,"Ball Roll, Pokemon","Ball Roll, sealeo, Thick Fat",193.1 kg,3 x 3 x 3 cm,Selenium
Walrein,27.0,"Walrein swims all over in frigid seawater while crushing icebergs with its grand, imposing tusks. Its thick layer of blubber makes enemy attacks bounce off harmlessly.",226 in stock,1600,"Ice Break, Pokemon","Ice Break, Thick Fat, walrein",332 kg,4 x 4 x 4 cm,Selenium
Clamperl,48.0,"Clamperl grows while being protected by its rock-hard shell. When its body becomes too large to fit inside the shell, it is sure evidence that this Pokémon is getting close to evolution.",139 in stock,2967,"Bivalve, Pokemon","Bivalve, clamperl, Shell Armor",115.7 kg,1 x 1 x 1 cm,Selenium
Huntail,52.0,"Huntail’s tail is shaped like a fish. It uses the tail to attract prey, then swallows the prey whole with its large, gaping mouth. This Pokémon swims by wiggling its slender body like a snake.",54 in stock,2805,"Deep Sea, Pokemon","Deep Sea, huntail, Swift Swim",59.5 kg,5 x 5 x 5 cm,Selenium
Gorebyss,150.0,"Although Gorebyss is the very picture of elegance and beauty while swimming, it is also cruel. When it spots prey, this Pokémon inserts its thin mouth into the prey’s body and drains the prey of its body fluids.",165 in stock,9428,"Pokemon, South Sea","gorebyss, South Sea, Swift Swim",49.8 kg,5 x 5 x 5 cm,Selenium
Relicanth,157.0,Relicanth is a rare species that was discovered in deep-sea explorations. This Pokémon’s body withstands the enormous water pressure of the ocean depths. Its body is covered in tough scales that are like craggy rocks.,14 in stock,7988,"Longevity, Pokemon","Longevity, relicanth, Rock Head",51.6 kg,3 x 3 x 3 cm,Selenium
Luvdisc,44.0,Luvdisc’s heart-shaped body is a symbol of love and romance. It is said that any couple meeting this Pokémon is promised a loving relationship that never ends.,190 in stock,4868,"Pokemon, Rendezvous","luvdisc, Rendezvous, Swift Swim",19.2 kg,2 x 2 x 2 cm,Selenium
Bagon,34.0,"Bagon harbors a never-ending dream of one day soaring high among the clouds. As if trying to dispel its frustration over its inability to fly, this Pokémon slams its hard head against huge rocks and shatters them into pebbles.",232 in stock,3372,"Pokemon, Rock Head","bagon, Rock Head",92.8 kg,2 x 2 x 2 cm,Selenium
Shelgon,56.0,"Covering Shelgon’s body are outgrowths much like bones. The shell is very hard and bounces off enemy attacks. When awaiting evolution, this Pokémon hides away in a cavern.",76 in stock,1384,"Endurance, Pokemon","Endurance, Rock Head, shelgon",243.6 kg,3 x 3 x 3 cm,Selenium
Salamence,62.0,"By evolving into Salamence, this Pokémon finally realizes its long-held dream of growing wings. To express its joy, it flies and wheels all over the sky while spouting flames from its mouth.",242 in stock,7686,"Dragon, Pokemon","Dragon, Intimidate, salamence",226.2 kg,4 x 4 x 4 cm,Selenium
Beldum,122.0,"Beldum keeps itself floating by generating a magnetic force that repels earth’s natural magnetism. When it sleeps, this Pokémon anchors itself to a cliff using the hooks on its rear.",93 in stock,3484,"Iron Ball, Pokemon","beldum, Clear Body, Iron Ball",209.9 kg,2 x 2 x 2 cm,Selenium
Metang,78.0,"When two Beldum fuse together, Metang is formed. The brains of the Beldum are joined by a magnetic nervous system. This Pokémon turns its arms to the rear for traveling at high speed.",227 in stock,6906,"Iron Claw, Pokemon","Clear Body, Iron Claw, metang",446.4 kg,3 x 3 x 3 cm,Selenium
Metagross,170.0,"Metagross is the result of two Metang achieving fusion. When hunting, this Pokémon pins the prey to the ground under its massive body. It then eats the helpless victim using the large mouth on its stomach.",177 in stock,8825,"Iron Leg, Pokemon","Clear Body, Iron Leg, metagross",1212.5 kg,5 x 5 x 5 cm,Selenium
Regirock,66.0,"Regirock’s body is composed entirely of rocks. Recently, a study made the startling discovery that the rocks were all unearthed from different locations.",65 in stock,5687,"Pokemon, Rock Peak","Clear Body, regirock, Rock Peak",507.1 kg,5 x 5 x 5 cm,Selenium
Regice,165.0,"Regice cloaks itself with frigid air of -328 degrees Fahrenheit. Things will freeze solid just by going near this Pokémon. Its icy body is so cold, it will not melt even if it is immersed in magma.",107 in stock,2261,"Iceberg, Pokemon","Clear Body, Iceberg, regice",385.8 kg,5 x 5 x 5 cm,Selenium
Registeel,196.0,Registeel was imprisoned by people in ancient times. The metal composing its body is thought to be a curious substance that is not of this earth.,67 in stock,6723,"Iron, Pokemon","Clear Body, Iron, registeel",451.9 kg,6 x 6 x 6 cm,Selenium
Latias,126.0,Latias is highly intelligent and capable of understanding human speech. It is covered with a glass-like down. The Pokémon enfolds its body with its down and refracts light to alter its appearance.,245 in stock,5077,"Eon, Pokemon","Eon, latias, Levitate",88.2 kg,4 x 4 x 4 cm,Selenium
Latios,166.0,Latios will only open its heart to a Trainer with a compassionate spirit. This Pokémon can fly faster than a jet plane by folding its forelegs to minimize air resistance.,197 in stock,7850,"Eon, Pokemon","Eon, latios, Levitate",132.3 kg,6 x 6 x 6 cm,Selenium
Kyogre,27.0,"Kyogre is said to be the personification of the sea itself. Legends tell of its many clashes against Groudon, as each sought to gain the power of nature.",136 in stock,5206,"Pokemon, Sea Basin","Drizzle, kyogre, Sea Basin",776 kg,14 x 14 x 14 cm,Selenium
Groudon,124.0,"Through Primal Reversion and with nature’s full power, it will take back its true form. It can cause magma to erupt and expand the landmass of the world.",138 in stock,6626,"Continent, Pokemon","Continent, Drought, groudon",2094.4 kg,11 x 11 x 11 cm,Selenium
Rayquaza,97.0,"It flies forever through the ozone layer, consuming meteoroids for sustenance. The many meteoroids in its body provide the energy it needs to Mega Evolve.",31 in stock,5410,"Pokemon, Sky High","Air Lock, rayquaza, Sky High",455.2 kg,23 x 23 x 23 cm,Selenium
Jirachi,111.0,Jirachi will awaken from its sleep of a thousand years if you sing to it in a voice of purity. It is said to make true any wish that people desire.,294 in stock,7952,"Pokemon, Wish","jirachi, Serene Grace, Wish",2.4 kg,1 x 1 x 1 cm,Selenium
Turtwig,101.0,"It undertakes photosynthesis with its body, making oxygen. The leaf on its head wilts if it is thirsty.",254 in stock,8788,"Pokemon, Tiny Leaf","Overgrow, Tiny Leaf, turtwig",22.5 kg,1 x 1 x 1 cm,Selenium
Grotle,154.0,It knows where pure water wells up. It carries fellow Pokémon there on its back.,187 in stock,7359,"Grove, Pokemon","grotle, Grove, Overgrow",213.8 kg,3 x 3 x 3 cm,Selenium
Torterra,87.0,Small Pokémon occasionally gather on its unmoving back to begin building their nests.,146 in stock,8373,"Continent, Pokemon","Continent, Overgrow, torterra",683.4 kg,7 x 7 x 7 cm,Selenium
Chimchar,143.0,The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.,242 in stock,5021,"Chimp, Pokemon","Blaze, chimchar, Chimp",13.7 kg,1 x 1 x 1 cm,Selenium
Monferno,68.0,It uses ceilings and walls to launch aerial attacks. Its fiery tail is but one weapon.,299 in stock,8413,"Playful, Pokemon","Blaze, monferno, Playful",48.5 kg,2 x 2 x 2 cm,Selenium
Infernape,165.0,It tosses its enemies around with agility. It uses all its limbs to fight in its own unique style.,82 in stock,3225,"Flame, Pokemon","Blaze, Flame, infernape",121.3 kg,3 x 3 x 3 cm,Selenium
Prinplup,177.0,It lives a solitary life. Its wings deliver wicked blows that can snap even the thickest of trees.,52 in stock,5785,"Penguin, Pokemon","Penguin, prinplup, Torrent",50.7 kg,2 x 2 x 2 cm,Selenium
Empoleon,42.0,The three horns that extend from its beak attest to its power. The leader has the biggest horns.,232 in stock,2449,"Emperor, Pokemon","Emperor, empoleon, Torrent",186.3 kg,5 x 5 x 5 cm,Selenium
Starly,59.0,"They flock around mountains and fields, chasing after bug Pokémon. Their singing is noisy and annoying.",110 in stock,3055,"Pokemon, Starling","Keen Eye, Starling, starly",4.4 kg,1 x 1 x 1 cm,Selenium
Staravia,158.0,It lives in forests and fields. Squabbles over territory occur when flocks collide.,263 in stock,1799,"Pokemon, Starling","Intimidate, staravia, Starling",34.2 kg,2 x 2 x 2 cm,Selenium
Staraptor,42.0,"When Staravia evolve into Staraptor, they leave the flock to live alone. They have sturdy wings.",131 in stock,9866,"Pokemon, Predator","Intimidate, Predator, staraptor",54.9 kg,3 x 3 x 3 cm,Selenium
Bidoof,128.0,It constantly gnaws on logs and rocks to whittle down its front teeth. It nests alongside water.,264 in stock,1171,"Plump Mouse, Pokemon","bidoof, Plump Mouse, Simple",44.1 kg,1 x 1 x 1 cm,Selenium
Bibarel,114.0,It makes its nest by damming streams with bark and mud. It is known as an industrious worker.,156 in stock,6844,"Beaver, Pokemon","Beaver, bibarel, Simple",69.4 kg,3 x 3 x 3 cm,Selenium
Kricketot,94.0,"When its antennae hit each other, it sounds like the music of a xylophone.",137 in stock,9812,"Cricket, Pokemon","Cricket, kricketot, Shed Skin",4.9 kg,1 x 1 x 1 cm,Selenium
Kricketune,53.0,It signals its emotions with its melodies. Scientists are studying these melodic patterns.,186 in stock,8726,"Cricket, Pokemon","Cricket, kricketune, Swarm",56.2 kg,3 x 3 x 3 cm,Selenium
Shinx,149.0,All of its fur dazzles if danger is sensed. It flees while the foe is momentarily blinded.,295 in stock,1507,"Flash, Pokemon","Flash, Intimidate, shinx",20.9 kg,1 x 1 x 1 cm,Selenium
Luxio,168.0,Strong electricity courses through the tips of its sharp claws. A light scratch causes fainting in foes.,222 in stock,9734,"Pokemon, Spark","Intimidate, luxio, Spark",67.2 kg,2 x 2 x 2 cm,Selenium
Luxray,43.0,Luxray’s ability to see through objects comes in handy when it’s scouting for danger.,227 in stock,4317,"Gleam Eyes, Pokemon","Gleam Eyes, Intimidate, luxray",92.6 kg,4 x 4 x 4 cm,Selenium
Budew,171.0,"Over the winter, it closes its bud and endures the cold. In spring, the bud opens and releases pollen.",62 in stock,3438,"Bud, Pokemon","Bud, budew, Poison Point",2.6 kg,4 x 4 x 4 cm,Selenium
Roserade,155.0,"With the movements of a dancer, it strikes with whips that are densely lined with poison thorns.",116 in stock,7696,"Bouquet, Pokemon","Bouquet, Poison Point, roserade",32 kg,2 x 2 x 2 cm,Selenium
Cranidos,47.0,"A lifelong jungle dweller from 100 million years ago, it would snap obstructing trees with headbutts.",98 in stock,8627,"Head Butt, Pokemon","cranidos, Head Butt, Mold Breaker",69.4 kg,2 x 2 x 2 cm,Selenium
Rampardos,196.0,Its skull is as hard as iron. It is a brute that tears down jungle trees while catching prey.,91 in stock,3536,"Head Butt, Pokemon","Head Butt, Mold Breaker, rampardos",226 kg,5 x 5 x 5 cm,Selenium
Shieldon,42.0,It was generated from a fossil dug out of a layer of clay that was older than anyone knows. It has a sturdy face.,284 in stock,9942,"Pokemon, Shield","Shield, shieldon, Sturdy",125.7 kg,1 x 1 x 1 cm,Selenium
Bastiodon,191.0,Any frontal attack is repulsed. It is a docile Pokémon that feeds on grass and berries.,14 in stock,6537,"Pokemon, Shield","bastiodon, Shield, Sturdy",329.6 kg,4 x 4 x 4 cm,Selenium
Burmy,91.0,"If its cloak is broken in battle, it quickly remakes the cloak with materials nearby.",266 in stock,6129,"Bagworm, Pokemon","Bagworm, burmy, Shed Skin",7.5 kg,4 x 4 x 4 cm,Selenium
Mothim,177.0,It flutters around at night and steals honey from the Combee hive.,151 in stock,2443,"Moth, Pokemon","Moth, mothim, Swarm",51.4 kg,2 x 2 x 2 cm,Selenium
Combee,111.0,"It collects and delivers honey to its colony. At night, they cluster to form a beehive and sleep.",254 in stock,7856,"Pokemon, Tiny Bee","combee, Honey Gather, Tiny Bee",12.1 kg,1 x 1 x 1 cm,Selenium
Vespiquen,104.0,Its abdomen is a honeycomb for grubs. It raises its grubs on honey collected by Combee.,123 in stock,1078,"Beehive, Pokemon","Beehive, Pressure, vespiquen",84.9 kg,3 x 3 x 3 cm,Selenium
Pachirisu,151.0,A pair may be seen rubbing their cheek pouches together in an effort to share stored electricity.,86 in stock,2264,"EleSquirrel, Pokemon","EleSquirrel, pachirisu, Run Away",8.6 kg,1 x 1 x 1 cm,Selenium
Buizel,55.0,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.,62 in stock,9044,"Pokemon, Sea Weasel","buizel, Sea Weasel, Swift Swim",65 kg,2 x 2 x 2 cm,Selenium
Floatzel,40.0,Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.,116 in stock,4591,"Pokemon, Sea Weasel","floatzel, Sea Weasel, Swift Swim",73.9 kg,3 x 3 x 3 cm,Selenium
Cherubi,101.0,It evolves by sucking the energy out of the small ball where it had been storing nutrients.,127 in stock,5681,"Cherry, Pokemon","Cherry, cherubi, Chlorophyll",7.3 kg,1 x 1 x 1 cm,Selenium
Cherrim,161.0,"If it senses strong sunlight, it opens its folded petals to absorb the sun’s rays with its whole body.",143 in stock,2914,"Blossom, Pokemon","Blossom, cherrim, Flower Gift",20.5 kg,1 x 1 x 1 cm,Selenium
Shellos,163.0,"Its shape and coloration vary, depending on its habitat.",149 in stock,4538,"Pokemon, Sea Slug","Sea Slug, shellos, Sticky Hold",13.9 kg,1 x 1 x 1 cm,Selenium
Gastrodon,148.0,It apparently had a huge shell for protection in ancient times. It lives in shallow tidal pools.,119 in stock,8490,"Pokemon, Sea Slug","gastrodon, Sea Slug, Sticky Hold",65.9 kg,2 x 2 x 2 cm,Selenium
Ambipom,36.0,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.",247 in stock,9199,"Long Tail, Pokemon","ambipom, Long Tail, Pickup",44.8 kg,3 x 3 x 3 cm,Selenium
Drifloon,70.0,These Pokémon are called the “Signpost for Wandering Spirits.” Children holding them sometimes vanish.,84 in stock,6748,"Balloon, Pokemon","Aftermath, Balloon, drifloon",2.6 kg,1 x 1 x 1 cm,Selenium
Drifblim,36.0,"It’s drowsy in daytime, but flies off in the evening in big groups. No one knows where they go.",233 in stock,9301,"Blimp, Pokemon","Aftermath, Blimp, drifblim",33.1 kg,3 x 3 x 3 cm,Selenium
Buneary,180.0,"When it senses danger, it perks up its ears. On cold nights, it sleeps with its head tucked into its fur.",204 in stock,6054,"Pokemon, Rabbit","buneary, Rabbit, Run Away",12.1 kg,1 x 1 x 1 cm,Selenium
Lopunny,123.0,"The ears appear to be delicate. If they are touched roughly, it kicks with its graceful legs.",85 in stock,1079,"Pokemon, Rabbit","Cute Charm, lopunny, Rabbit",73.4 kg,3 x 3 x 3 cm,Selenium
Mismagius,38.0,Its cries sound like incantations to torment the foe. It appears where you least expect it.,215 in stock,7198,"Magical, Pokemon","Levitate, Magical, mismagius",9.7 kg,2 x 2 x 2 cm,Selenium
Honchkrow,47.0,"Becoming active at night, it is known to swarm with numerous Murkrow in tow.",56 in stock,7873,"Big Boss, Pokemon","Big Boss, honchkrow, Insomnia",60.2 kg,2 x 2 x 2 cm,Selenium
Glameow,39.0,"When it’s happy, Glameow demonstrates beautiful movements of its tail, like a dancing ribbon.",96 in stock,5014,"Catty, Pokemon","Catty, glameow, Limber",8.6 kg,1 x 1 x 1 cm,Selenium
Purugly,128.0,"To make itself appear intimidatingly beefy, it tightly cinches its waist with its twin tails.",158 in stock,6724,"Pokemon, Tiger Cat","Own Tempo, purugly, Tiger Cat",96.6 kg,3 x 3 x 3 cm,Selenium
Stunky,106.0,It protects itself by spraying a noxious fluid from its rear. The stench lingers for 24 hours.,12 in stock,7336,"Pokemon, Skunk","Skunk, Stench, stunky",42.3 kg,1 x 1 x 1 cm,Selenium
Skuntank,112.0,It sprays a stinky fluid from its tail. The fluid smells worse the longer it is allowed to fester.,56 in stock,6511,"Pokemon, Skunk","Skunk, skuntank, Stench",83.8 kg,3 x 3 x 3 cm,Selenium
Bronzong,110.0,Ancient people believed that petitioning Bronzong for rain was the way to make crops grow.,191 in stock,3873,"Bronze Bell, Pokemon","Bronze Bell, bronzong, Levitate",412.3 kg,4 x 4 x 4 cm,Selenium
Bonsly,106.0,It prefers an arid atmosphere. It leaks water that looks like tears when adjusting its moisture level.,273 in stock,2897,"Bonsai, Pokemon","Bonsai, bonsly, Rock Head",33.1 kg,1 x 1 x 1 cm,Selenium
Mime-jr,170.0,"It habitually mimics foes. Once mimicked, the foe cannot take its eyes off this Pokémon.",188 in stock,3409,"Mime, Pokemon","Mime, mime-jr, Soundproof",28.7 kg,2 x 2 x 2 cm,Selenium
Happiny,67.0,"It carefully carries a round, white rock that it thinks is an egg. It’s bothered by how curly its hair looks.",270 in stock,4766,"Playhouse, Pokemon","happiny, Natural Cure, Playhouse",53.8 kg,2 x 2 x 2 cm,Selenium
Chatot,78.0,"It can learn and speak human words. If they gather, they all learn the same saying.",261 in stock,1336,"Music Note, Pokemon","chatot, Keen Eye, Music Note",4.2 kg,1 x 1 x 1 cm,Selenium
Spiritomb,165.0,It was bound to a fissure in an odd keystone as punishment for misdeeds 500 years ago.,51 in stock,7680,"Forbidden, Pokemon","Forbidden, Pressure, spiritomb",238.1 kg,3 x 3 x 3 cm,Selenium
Gible,194.0,"It nests in small, horizontal holes in cave walls. It pounces to catch prey that stray too close.",178 in stock,6182,"Land Shark, Pokemon","gible, Land Shark, Sand Veil",45.2 kg,2 x 2 x 2 cm,Selenium
Gabite,154.0,"As it digs to expand its nest, it habitually digs up gems that it then hoards in its nest.",128 in stock,4593,"Cave, Pokemon","Cave, gabite, Sand Veil",123.5 kg,4 x 4 x 4 cm,Selenium
Garchomp,62.0,It flies at speeds equal to a jet fighter plane. It never allows its prey to escape.,65 in stock,8222,"Mach, Pokemon","garchomp, Mach, Sand Veil",209.4 kg,6 x 6 x 6 cm,Selenium
Munchlax,190.0,It conceals food under the long fur on its body. It carts around this food stash and swallows it without chewing.,239 in stock,3240,"Big Eater, Pokemon","Big Eater, munchlax, Pickup",231.5 kg,2 x 2 x 2 cm,Selenium
Riolu,70.0,The aura that emanates from its body intensifies to alert others if it is afraid or sad.,86 in stock,6986,"Emanation, Pokemon","Emanation, Inner Focus, riolu",44.5 kg,2 x 2 x 2 cm,Selenium
Lucario,102.0,"By reading the auras of all things, it can tell how others are feeling from over half a mile away.",24 in stock,1059,"Aura, Pokemon","Aura, Inner Focus, lucario",119 kg,3 x 3 x 3 cm,Selenium
Hippopotas,189.0,It enshrouds itself with sand to protect itself from germs. It does not enjoy getting wet.,231 in stock,2949,"Hippo, Pokemon","Hippo, hippopotas, Sand Stream",109.1 kg,2 x 2 x 2 cm,Selenium
Hippowdon,140.0,It blasts internally stored sand from ports on its body to create a towering twister for attack.,273 in stock,4356,"Heavyweight, Pokemon","Heavyweight, hippowdon, Sand Stream",661.4 kg,6 x 6 x 6 cm,Selenium
Skorupi,51.0,It burrows under the sand to lie in wait for prey. Its tail claws can inject its prey with a savage poison.,42 in stock,8128,"Pokemon, Scorpion","Scorpion, skorupi, Sniper",26.5 kg,2 x 2 x 2 cm,Selenium
Drapion,72.0,It has the power in its clawed arms to make scrap of a car. The tips of its claws release poison.,273 in stock,6958,"Ogre Scorpion, Pokemon","drapion, Ogre Scorpion, Sniper",135.6 kg,4 x 4 x 4 cm,Selenium
Croagunk,145.0,"Inflating its poison sacs, it fills the area with an odd sound and hits flinching opponents with a poison jab.",207 in stock,7116,"Pokemon, Toxic Mouth","croagunk, Dry Skin, Toxic Mouth",50.7 kg,2 x 2 x 2 cm,Selenium
Toxicroak,145.0,Its knuckle claws secrete a toxin so vile that even a scratch could prove fatal.,108 in stock,4991,"Pokemon, Toxic Mouth","Dry Skin, Toxic Mouth, toxicroak",97.9 kg,4 x 4 x 4 cm,Selenium
Carnivine,60.0,It binds itself to trees in marshes. It attracts prey with its sweet-smelling drool and gulps them down.,245 in stock,3611,"Bug Catcher, Pokemon","Bug Catcher, carnivine, Levitate",59.5 kg,4 x 4 x 4 cm,Selenium
Finneon,172.0,"After long exposure to sunlight, the patterns on its tail fins shine vividly when darkness arrives.",66 in stock,1938,"Pokemon, Wing Fish","finneon, Swift Swim, Wing Fish",15.4 kg,1 x 1 x 1 cm,Selenium
Lumineon,72.0,"To avoid detection by predators, it crawls along the seafloor using the two fins on its chest.",76 in stock,6600,"Neon, Pokemon","lumineon, Neon, Swift Swim",52.9 kg,3 x 3 x 3 cm,Selenium
Mantyke,121.0,"When it swims close to the surface of the ocean, people aboard ships are able to observe the pattern on its back.",117 in stock,5241,"Kite, Pokemon","Kite, mantyke, Water Absorb",143.3 kg,3 x 3 x 3 cm,Selenium
Snover,104.0,"In the spring, it grows berries with the texture of frozen treats around its belly.",143 in stock,3404,"Frost Tree, Pokemon","Frost Tree, snover, Snow Warning",111.3 kg,3 x 3 x 3 cm,Selenium
Abomasnow,46.0,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.,61 in stock,1468,"Frost Tree, Pokemon","abomasnow, Frost Tree, Snow Warning",298.7 kg,7 x 7 x 7 cm,Selenium
Magnezone,190.0,It evolved from exposure to a special magnetic field. Three units generate magnetism.,108 in stock,1538,"Magnet Area, Pokemon","Magnet Area, magnezone, Sturdy",396.8 kg,3 x 3 x 3 cm,Selenium
Lickilicky,101.0,Their saliva contains lots of components that can dissolve anything. The numbness caused by their lick does not dissipate.,125 in stock,5442,"Licking, Pokemon","lickilicky, Licking, Oblivious",308.6 kg,5 x 5 x 5 cm,Selenium
Rhyperior,79.0,It puts rocks in holes in its palms and uses its muscles to shoot them. Geodude are shot at rare times.,161 in stock,1070,"Drill, Pokemon","Drill, Lightning Rod, rhyperior",623.5 kg,7 x 7 x 7 cm,Selenium
Tangrowth,108.0,"Its vines grow so profusely that, in the warm season, you can’t even see its eyes.",136 in stock,8824,"Pokemon, Vine","Chlorophyll, tangrowth, Vine",283.5 kg,6 x 6 x 6 cm,Selenium
Electivire,61.0,"It pushes the tips of its two tails against the foe, then lets loose with over 20,000 volts of power.",155 in stock,5656,"Pokemon, Thunderbolt","electivire, Motor Drive, Thunderbolt",305.6 kg,5 x 5 x 5 cm,Selenium
Magmortar,200.0,"It blasts fireballs of over 3,600 degrees Fahrenheit out of its arms. Its breath also sears and sizzles.",149 in stock,4979,"Blast, Pokemon","Blast, Flame Body, magmortar",149.9 kg,5 x 5 x 5 cm,Selenium
